source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp
65283232316451328,56.45679586432521,24.36754142471917,7.671309961502887,19.515752191840225,-45.52730972393302,3.863349,-0.013768196
66529975427235712,57.296830774548276,24.136498420483132,7.241378315608465,19.49605376673818,-47.64989929604236,5.203287,-0.033113003
64940906245415808,57.0868319876062,23.421039463726608,7.690936370750085,19.695020996577448,-47.112981495474266,5.428299,-0.067106724
65287458566524928,56.20099235353907,24.28926774500748,7.385246890845397,19.84914439143686,-44.96559622643841,5.4413247,-0.021222115
69812945346809600,56.29068291043696,24.839057004118633,7.222157170572348,20.218136384021552,-46.12398123648605,5.6404076,-0.08046627
66798496781121792,56.47708455753871,24.55430537374798,7.3052753639807255,20.33140314206862,-46.022054798281474,5.752026,-0.02298975
64053566003097984,57.47955819207775,22.24395883052281,7.4144394339727135,21.21758879602769,-42.76726738915421,6.040353,0.023480415
66453490649681280,57.431468357888065,23.711649593760512,7.46248486399861,17.868504681193286,-45.57243824211501,6.1591687,-0.049655914
66715105696289024,56.837760020213594,24.116067483641807,7.199902345703015,20.344160878448307,-45.07643568357508,6.29883,0.009374142
66786505232432512,56.51218035590119,24.527697326214305,7.423127367767808,19.582296508324045,-44.877584847283686,6.4252644,-0.01687336
66745617143891968,57.340716620829006,24.380752387790455,7.189385624305486,18.566769795996994,-45.34756663616908,6.604883,-0.032555103
64679840952155264,54.66976712540925,22.659409622396907,7.3735646873637215,20.157222248000696,-45.35939552579252,6.7019362,7.677078E-5
66789872486779520,56.747585269534376,24.51991333978582,7.271150194177561,22.271845514767694,-47.52140397943802,6.8028107,0.034648895
66507469798631808,57.491988012399965,23.84848726390722,7.389021187429237,18.377840455207256,-45.870328430863225,6.806421,0.05533743
66729880383767168,56.87281395748792,24.288130246334337,7.230057778664303,18.551020432929977,-46.92179879334844,6.815936,0.10141754
64956127609464320,56.45349543711508,23.14694333291917,7.4211396976655095,20.513910371784853,-45.699760208111584,6.895188,0.024568558
65017627244152064,56.837462886443596,23.803141100251725,7.312944753255134,19.09568001950756,-45.519794998351045,6.997606,0.04240656
64109915973846528,57.409171523077866,22.53328562479943,7.295865291844413,18.218374885497603,-44.56881799548171,7.0043597,0.042464733
65207709611941376,56.85182143112869,23.9144778917631,7.220987406121659,20.049108040161617,-44.13258985442616,7.286501,0.04229927
65231486552803328,56.61376023966258,24.254800329035454,7.345983258822864,20.450350564327135,-44.64674558353142,7.352819,0.13436317
66746441777612416,57.32010689706659,24.39593347467187,7.012849082916408,19.735690455662137,-44.081448971829964,7.525846,0.13290787
66558249192653952,57.48590927641627,24.348794070150266,7.315576014582632,19.505374073802887,-44.599599471397354,7.546007,0.08989811
67369658709673344,57.98934328927283,25.998665776464502,7.337022096802651,19.174378854485525,-46.704154454545126,7.648581,0.20271397
64114245300877184,57.29700152037766,22.609258005731753,7.455976057919426,21.057238451322103,-47.309507094315066,7.7059603,0.23435354
65007083101413888,56.861890197773505,23.678126852419382,7.472988365635405,21.72387551654079,-45.70969458878078,7.7467694,0.21737766
64798691287540224,56.41633572294943,22.694265149860293,7.291631614082201,19.830372611939126,-44.158154915313965,7.800061,0.25158405
65221487868870784,56.46524526083272,24.03867637774549,7.295877939593721,19.8061014454413,-45.00296374339572,7.8336287,0.2657609
66555985749157760,57.35836849831732,24.24749646235856,7.454869915597753,21.248523208475092,-46.07484917184325,7.9557376,0.23378706
69872044096705664,56.496515250865976,25.39839015777669,7.412431557949202,20.318909900230626,-45.41323411860892,8.016677,0.27722025
68306099020642432,56.00122131401905,24.556792926212825,7.412449484379191,20.53463871701449,-46.18983462732439,8.041619,0.2723384
64929391436043264,57.42060476339698,23.341369648361887,7.3159120319680895,18.7330771968439,-45.13349681432525,8.094326,0.27309132
66506331628024832,57.3008750959372,23.886587601561303,7.417763214315631,19.620728847184104,-45.17323902020466,8.101668,0.29633617
66724451545088128,57.05657664728561,24.3182124280673,7.405014495827893,17.894192419007407,-41.115996427217624,8.214289,0.5012932
65230764996027776,56.56677710161743,24.189728475046618,7.399226753718945,19.60554501391406,-43.75937028293768,8.228746,0.44409132
66715273197982848,56.83070036887997,24.138920132623063,7.269312246192696,19.017069653993058,-43.927570681464154,8.243902,0.35392094
69948253997063424,56.94524283764543,25.38549346832899,7.2009784966893235,19.422889821125843,-45.7770402267978,8.26957,0.34359264
65437644983224320,59.11726653104686,23.150073028495136,7.364247553292616,18.51543341545685,-45.74470912887277,8.301424,0.36855602
65212107660378880,56.767658409458,23.995012914402537,7.401981307676885,21.32317472970832,-45.436982058241185,8.332108,0.411232
64933759417769984,57.18299036630866,23.2596150203104,7.318904571155356,19.293731697883047,-44.88499205938077,8.33693,0.38464737
65296357738731008,56.39368645440966,24.463106878376045,7.351642646560689,18.45262299245357,-46.101289273382704,8.54996,0.49812222
70024154658949120,56.645215600086246,25.84365846299981,7.379061618516552,16.961073467576995,-45.52740980140536,8.645617,0.4909296
66657415696297344,57.86348961016656,24.518448754707425,7.251437641917489,19.74663141605784,-45.451294562195194,8.769578,0.534214
64837242912474624,55.872124314048335,22.734611125652357,7.532518558405384,20.07361040924858,-45.96376909847048,8.88526,0.59570026
64879402312818944,56.21358052689102,23.26872443224326,7.394624876379964,20.545926181047776,-44.30031551839597,8.886077,0.547925
65188090203295744,56.27211037045957,23.70246592516979,7.47060055813846,19.74960133387602,-46.401071174135026,8.888269,0.5366392
69819404977607168,56.33701983849263,24.921874441485695,7.31021390474316,20.356301638083206,-44.16034359248281,8.900821,0.6205778
66969676998824576,57.77650195986893,25.594492433140854,7.309821489243173,20.12835332681689,-45.270036288204764,9.013485,0.6151848
64930495244783616,57.38645295572227,23.380204240051093,7.231276897025075,20.34647137610763,-44.301346464210745,9.034874,0.587265
65027595864800000,55.519783485203185,22.858358168943482,7.451380363496461,20.956669492460257,-44.68794288703312,9.057103,0.6310768
65120470237460480,55.345801507755894,23.48673483571187,7.4801116586688075,21.626674943484065,-45.324354884444176,9.069493,0.5979481
66939848447027584,57.07039222938601,25.21491968688357,7.358738230374514,18.11105149210825,-45.7244672361417,9.118056,0.6590395
65225611037551360,56.663989544588695,24.10299456629025,7.360921813307845,20.529234552319263,-46.94187273360423,9.199545,0.6225796
64952829074688896,56.66674719150831,23.110124081170717,7.391158486799486,19.26270138389062,-46.76202027354881,9.295629,0.6416569
64808204638390912,56.66006365313638,22.919584206915975,7.1525685788631295,19.92415292387568,-43.54934665259477,9.306278,0.6573868
66655560269868544,58.22291567603581,24.71553110367964,7.35145204021169,18.175993661279783,-45.040845638425715,9.341612,0.63813114
64739248940235392,56.24560047392225,22.032257713665405,7.135003545664876,18.831601896246248,-43.71115305691276,9.362043,0.66415787
68310561489710336,55.729745748660456,24.492868817275667,7.270583160634106,21.20960169235345,-45.11720953111689,9.3706045,0.6564312
66729261908482048,56.791988143840086,24.276453622807093,7.357064223916837,19.959460137901697,-44.498036812412536,9.376594,0.6450882
65230764998207232,56.566787224157245,24.189434810498856,7.39543822777499,20.755873830415954,-50.03176368981576,9.408872,0.40332794
65090680344356992,55.9287518176777,23.594570255931796,7.392698468900249,19.83314154714896,-47.22600715703526,9.430407,0.68530273
66980362877378432,57.470573906210106,25.647246431442863,7.246003957202509,18.623312387093794,-45.93795176933582,9.434445,0.7121401
66713044112564864,57.02995559055859,24.14185767971222,7.372210598869264,17.901458738341884,-46.43975714497985,9.440848,0.719471
66960262430594816,57.573731542368556,25.379363743861116,7.23941620088313,19.347753197883975,-45.86003924563756,9.52466,0.679121
65242069352190976,55.99511103368515,23.882527325074037,7.332855207330711,19.881529907073876,-44.69357603049772,9.539745,0.7352009
69819027020489088,56.350629556134706,24.88577921413498,7.384165584979173,20.543402898057757,-45.56968459352292,9.570481,0.6845684
65819965792011904,58.590039916938494,24.075488278861247,7.38953573788731,19.32826700251732,-45.65249948875221,9.597126,0.6966171
69964879813013248,56.83709232128784,25.525638838893478,7.44663752434784,19.303587860106475,-45.56852791313415,9.696473,0.7528343
68250264445159936,54.788131417357974,24.367623103320557,7.0063925828546205,18.924603160422812,-40.7879756704596,9.708421,0.74827385
69811948914407168,56.169922338576605,24.818333957946873,7.489501972504944,20.238677643478304,-45.445803609583365,9.715471,0.7056837
65207709613871744,56.849928429173104,23.914271006001808,7.185575669070407,19.60591854512209,-46.32969547460584,9.739319,0.8328581
65020414679879296,56.96895425474899,23.94102406851244,7.376293478669214,19.684597110725647,-46.393807800230576,9.761056,0.7080078
64837139834697984,55.87166965704079,22.73438824922199,7.556974713766846,21.901688240815574,-45.302615313158384,9.766249,0.77743435
65113559634339200,54.921665165578005,23.290687048609904,7.243609046567632,21.292095189450617,-43.70881158081545,9.810571,0.7111435
66523893753437824,57.1091158768964,24.048182417276898,7.419126279193348,19.673447078688287,-46.25819665857012,9.903484,0.7340889
66471220274934272,57.9870267667612,23.90175276491097,7.5653725973483175,20.569032402298205,-45.934426876990045,9.926686,0.75233746
70108473456817280,55.40077339536187,25.619132539658523,7.260360591268323,17.45329149479062,-43.16377509224178,9.931939,0.78020096
65222759179728640,56.39758231507854,24.08301110684446,7.2998022120351305,18.42957215998396,-45.20699962860034,9.984646,0.8261423
64999588381514496,57.07052147815302,23.63658449525568,7.19439797679517,18.291523231258868,-44.75731337240399,9.99203,0.7404547
65199978672758272,56.65709673682824,23.78750955142278,7.471863203927212,20.01127262219112,-47.26742342923304,10.045166,0.90088654
66838452861270272,56.661659316992534,24.959436887087797,7.4069576100515615,20.610307326877866,-46.954463131057246,10.10806,0.8023014
66462939577861248,57.667058127725106,23.932844783221913,7.251408520456074,18.70635797044318,-44.35811453871019,10.161764,0.7804346
64449729487990912,55.600196939480526,22.420941414601447,7.325781236905765,19.75260126482393,-44.404909682301366,10.207125,0.8412733
64941211186036352,57.14388698332008,23.434590988620933,7.380077777631508,19.371696632671146,-45.077613013343736,10.21041,0.7898922
68254245878512384,54.80623332660652,24.46632471871234,7.118104224750291,19.811126884811692,-44.51509163145818,10.22619,0.80078983
64380636350910464,55.879802083014745,22.158174613753417,7.407734326818096,19.658834319467623,-45.71134755190139,10.233227,0.8913317
